province,fiscal_year,total_accidents,fatal_accidents,non_fatal_accidents,killed,injured,vehicles_involved,fatality_rate,injury_rate,fatal_accident_pct
Pakistan,2008-09,9496,4145,5351,4907,11037,10322,0.5167,1.1623,43.65
Pakistan,2009-10,9747,4378,5369,5280,11173,10496,0.5417,1.1463,44.92
Pakistan,2010-11,9723,4280,5443,5271,11383,10822,0.5421,1.1707,44.02
Pakistan,2011-12,9140,3966,5174,4758,10145,9986,0.5206,1.11,43.39
Pakistan,2012-13,8988,3884,5104,4719,9710,9876,0.525,1.0803,43.21
Pakistan,2013-14,8359,3500,4859,4348,9777,9423,0.5202,1.1696,41.87
Pakistan,2014-15,7865,3214,4651,3954,9661,8949,0.5027,1.2284,40.86
Pakistan,2015-16,9100,3591,5509,4448,11544,10636,0.4888,1.2686,39.46
Pakistan,2016-17,9582,4036,5546,5047,12696,11317,0.5267,1.325,42.12
Pakistan,2017-18,11121,4829,6292,5948,14489,13134,0.5348,1.3029,43.42
Pakistan,2018-19,10779,4878,5901,5932,13219,12908,0.5503,1.2264,45.25
Punjab,2008-09,5240,2471,2769,2912,5790,5240,0.5557,1.105,47.16
Punjab,2009-10,5344,2590,2754,3083,5856,5344,0.5769,1.0958,48.47
Punjab,2010-11,5420,2591,2829,3167,5809,5420,0.5843,1.0718,47.8
Punjab,2011-12,4990,2361,2629,2888,5071,4990,0.5788,1.0162,47.31
Punjab,2012-13,4587,2213,2374,2692,4515,4587,0.5869,0.9843,48.25
Punjab,2013-14,3696,1717,1979,2145,3941,3696,0.5804,1.0663,46.46
Punjab,2014-15,3054,1435,1619,1750,3652,3054,0.573,1.1958,46.99
Punjab,2015-16,3288,1576,1712,2053,4550,3288,0.6244,1.3838,47.93
Punjab,2016-17,3819,1989,1830,2494,5231,3819,0.6531,1.3697,52.08
Punjab,2017-18,5093,2708,2385,3371,6772,5093,0.6619,1.3297,53.17
Punjab,2018-19,4823,2808,2015,3423,5916,4823,0.7097,1.2266,58.22
Sindh,2008-09,1433,824,609,961,1160,1562,0.6706,0.8095,57.5
Sindh,2009-10,1465,883,582,1031,1261,1580,0.7038,0.8608,60.27
Sindh,2010-11,1270,758,512,927,1071,1541,0.7299,0.8433,59.69
Sindh,2011-12,1054,681,373,756,681,1121,0.7173,0.6461,64.61
Sindh,2012-13,935,582,353,696,637,960,0.7444,0.6813,62.25
Sindh,2013-14,945,613,332,791,893,1103,0.837,0.945,64.87
Sindh,2014-15,881,583,298,771,863,1029,0.8751,0.9796,66.17
Sindh,2015-16,924,634,290,749,754,1144,0.8106,0.816,68.61
Sindh,2016-17,880,608,272,786,970,1009,0.8932,1.1023,69.09
Sindh,2017-18,848,586,262,802,838,1015,0.9458,0.9882,69.1
Sindh,2018-19,972,620,352,725,829,1142,0.7459,0.8529,63.79
Khyber Pakhtunkhwa,2008-09,2392,644,1748,786,3340,2975,0.3286,1.3963,26.92
Khyber Pakhtunkhwa,2009-10,2559,712,1847,921,3560,3128,0.3599,1.3912,27.82
Khyber Pakhtunkhwa,2010-11,2722,773,1949,986,4153,3479,0.3622,1.5257,28.4
Khyber Pakhtunkhwa,2011-12,2772,785,1987,953,3913,3501,0.3438,1.4116,28.32
Khyber Pakhtunkhwa,2012-13,2968,846,2122,1059,4016,3736,0.3568,1.3531,28.5
Khyber Pakhtunkhwa,2013-14,3120,877,2243,1033,4257,3934,0.3311,1.3644,28.11
Khyber Pakhtunkhwa,2014-15,3399,942,2457,1137,4524,4260,0.3345,1.331,27.71
Khyber Pakhtunkhwa,2015-16,4287,1083,3204,1299,5527,5490,0.303,1.2892,25.26
Khyber Pakhtunkhwa,2016-17,4256,1103,3153,1317,5804,5736,0.3094,1.3637,25.92
Khyber Pakhtunkhwa,2017-18,4425,1119,3306,1295,6093,6052,0.2927,1.3769,25.29
Khyber Pakhtunkhwa,2018-19,4337,1097,3240,1318,5798,6062,0.3039,1.3369,25.29
Balochistan,2008-09,431,206,225,248,747,545,0.5754,1.7332,47.8
Balochistan,2009-10,379,193,186,245,496,444,0.6464,1.3087,50.92
Balochistan,2010-11,311,158,153,191,350,382,0.6141,1.1254,50.8
Balochistan,2011-12,324,139,185,161,480,374,0.4969,1.4815,42.9
Balochistan,2012-13,297,136,161,163,362,381,0.5488,1.2189,45.79
Balochistan,2013-14,342,173,169,247,480,434,0.7222,1.4035,50.58
Balochistan,2014-15,315,147,168,178,440,389,0.5651,1.3968,46.67
Balochistan,2015-16,357,178,179,207,504,470,0.5798,1.4118,49.86
Balochistan,2016-17,401,209,192,321,567,537,0.8005,1.414,52.12
Balochistan,2017-18,496,259,237,313,624,715,0.631,1.2581,52.22
Balochistan,2018-19,409,226,183,330,542,642,0.8068,1.3252,55.26
Islamabad,2012-13,201,107,94,109,180,212,0.5423,0.8955,53.23
Islamabad,2013-14,256,120,136,132,206,256,0.5156,0.8047,46.88
Islamabad,2014-15,216,107,109,118,182,217,0.5463,0.8426,49.54
Islamabad,2015-16,244,120,124,140,209,244,0.5738,0.8566,49.18
Islamabad,2016-17,226,127,99,129,124,216,0.5708,0.5487,56.19
Islamabad,2017-18,259,157,102,167,162,259,0.6448,0.6255,60.62
Islamabad,2018-19,238,127,111,136,134,239,0.5714,0.563,53.36
