dataset_size,model,interaction_feature,accuracy,f1_weighted,f1_macro,roc_auc,train_time_sec,model_size_kb,train_n,val_n,test_n
49999,XGBoost,False,0.4668,0.4236,0.4093,0.7266,7.14,4201.8,34999,7500,7500
49999,XGBoost,True,0.47,0.4256,0.4118,0.7301,6.86,3957.4,34999,7500,7500
49999,LightGBM,False,0.4579,0.4219,0.4078,0.7221,6.46,7928.9,34999,7500,7500
49999,LightGBM,True,0.4567,0.4214,0.4077,0.7201,6.51,7921.7,34999,7500,7500
49999,HistGradientBoosting,False,0.4779,0.419,0.4032,0.731,6.2,806.8,34999,7500,7500
49999,HistGradientBoosting,True,0.4781,0.4189,0.403,0.7321,1.98,736.7,34999,7500,7500
49999,RandomForest,False,0.4749,0.4148,0.3995,0.7296,5.3,37715.9,34999,7500,7500
49999,RandomForest,True,0.4767,0.4177,0.403,0.732,5.58,35595.5,34999,7500,7500
100000,XGBoost,False,0.4718,0.4207,0.4066,0.7296,15.67,4185.3,70000,15000,15000
100000,XGBoost,True,0.4717,0.4188,0.4044,0.7299,14.48,3922.4,70000,15000,15000
100000,LightGBM,False,0.466,0.4215,0.408,0.7257,9.13,7937.1,70000,15000,15000
100000,LightGBM,True,0.4631,0.4192,0.4055,0.7259,9.05,7928.2,70000,15000,15000
100000,HistGradientBoosting,False,0.4755,0.4157,0.4013,0.7312,3.35,849.0,70000,15000,15000
100000,HistGradientBoosting,True,0.4733,0.4132,0.3982,0.7307,2.83,694.5,70000,15000,15000
100000,RandomForest,False,0.474,0.4136,0.3991,0.7284,12.87,63411.3,70000,15000,15000
100000,RandomForest,True,0.474,0.4153,0.4015,0.7296,12.8,59448.5,70000,15000,15000
150000,XGBoost,False,0.4716,0.4157,0.4011,0.7242,23.32,4150.7,105000,22500,22500
150000,XGBoost,True,0.4696,0.4125,0.3971,0.7237,26.26,3876.8,105000,22500,22500
150000,LightGBM,False,0.468,0.4161,0.4007,0.7228,11.4,7945.0,105000,22500,22500
150000,LightGBM,True,0.4661,0.4151,0.4004,0.7214,12.4,7937.1,105000,22500,22500
150000,HistGradientBoosting,False,0.4722,0.4091,0.3913,0.7264,6.78,1186.9,105000,22500,22500
150000,HistGradientBoosting,True,0.4726,0.4092,0.392,0.7272,4.98,849.3,105000,22500,22500
150000,RandomForest,False,0.4695,0.4082,0.392,0.7226,26.47,83132.7,105000,22500,22500
150000,RandomForest,True,0.4695,0.4096,0.3938,0.7243,23.65,76280.9,105000,22500,22500
200000,XGBoost,False,0.4685,0.4116,0.3972,0.7252,36.99,4118.6,140000,30000,30000
200000,XGBoost,True,0.4702,0.413,0.3991,0.7259,29.85,3850.9,140000,30000,30000
200000,LightGBM,False,0.4685,0.4148,0.4004,0.7235,19.75,7952.0,140000,30000,30000
200000,LightGBM,True,0.4693,0.4165,0.4033,0.724,16.12,7942.1,140000,30000,30000
200000,HistGradientBoosting,False,0.4727,0.4145,0.4018,0.7271,7.75,1003.9,140000,30000,30000
200000,HistGradientBoosting,True,0.4704,0.411,0.3969,0.7274,5.8,736.7,140000,30000,30000
200000,RandomForest,False,0.4706,0.4115,0.3972,0.725,42.8,98308.6,140000,30000,30000
200000,RandomForest,True,0.4735,0.4161,0.4032,0.7267,43.36,90398.0,140000,30000,30000
249999,XGBoost,False,0.4755,0.4172,0.4032,0.728,46.2,4114.0,174999,37500,37500
249999,XGBoost,True,0.4747,0.4162,0.4024,0.7282,44.9,3840.8,174999,37500,37500
249999,LightGBM,False,0.4742,0.4185,0.4051,0.7282,22.46,7960.0,174999,37500,37500
249999,LightGBM,True,0.4739,0.4187,0.4049,0.7277,21.21,7950.4,174999,37500,37500
249999,HistGradientBoosting,False,0.4766,0.4183,0.4051,0.7309,9.13,919.4,174999,37500,37500
249999,HistGradientBoosting,True,0.4764,0.4175,0.4035,0.7308,9.0,877.5,174999,37500,37500
249999,RandomForest,False,0.4759,0.4168,0.4023,0.7276,58.8,113944.8,174999,37500,37500
249999,RandomForest,True,0.4751,0.4171,0.4032,0.7285,58.24,104319.6,174999,37500,37500
300000,XGBoost,False,0.4746,0.416,0.401,0.7296,47.21,4099.6,210000,45000,45000
300000,XGBoost,True,0.4736,0.4147,0.3995,0.7293,55.77,3827.5,210000,45000,45000
300000,LightGBM,False,0.4742,0.417,0.4019,0.7285,30.75,7967.0,210000,45000,45000
300000,LightGBM,True,0.4724,0.4164,0.4016,0.7279,29.31,7958.8,210000,45000,45000
300000,HistGradientBoosting,False,0.4741,0.4147,0.3994,0.7304,9.67,933.5,210000,45000,45000
300000,HistGradientBoosting,True,0.4754,0.4173,0.4037,0.7306,9.11,863.4,210000,45000,45000
300000,RandomForest,False,0.4728,0.4137,0.3982,0.7282,61.12,124656.5,210000,45000,45000
300000,RandomForest,True,0.474,0.416,0.4011,0.7296,68.17,113888.1,210000,45000,45000
