iter	MultiClass
0	1.315731409
1	1.262699528
2	1.217390198
3	1.181987463
4	1.149692241
5	1.124670354
6	1.102436888
7	1.082134375
8	1.064462726
9	1.050692244
10	1.037532662
11	1.027102427
12	1.016944005
13	1.008768374
14	1.001122378
15	0.9951666955
16	0.9887457134
17	0.9833387869
18	0.9792507782
19	0.9757599965
20	0.9724274303
21	0.9695140611
22	0.9664640296
23	0.9634731588
24	0.9612980301
25	0.9592907012
26	0.9570260937
27	0.9551169076
28	0.9532657043
29	0.9519925111
30	0.9510664574
31	0.9496981241
32	0.948330022
33	0.9474507818
34	0.9463769403
35	0.9456169884
36	0.9447963311
37	0.9439980614
38	0.9433597153
39	0.9427718529
40	0.9422876981
41	0.9418943391
42	0.941592789
43	0.941220553
44	0.9407612158
45	0.9402696873
46	0.9398717836
47	0.9396433337
48	0.9392587541
49	0.9391009961
50	0.9388434975
51	0.9386166002
52	0.9384993257
53	0.938299487
54	0.9380819081
55	0.9376353021
56	0.9373216531
57	0.937170213
58	0.9369114469
59	0.9367856537
60	0.9365242875
61	0.9363591852
62	0.9361896685
63	0.9360020701
64	0.9357966709
65	0.9356795071
66	0.9355077172
67	0.9353322014
68	0.9351749929
69	0.9350205375
70	0.9348684511
71	0.9346980184
72	0.9344556646
73	0.9342314548
74	0.9340431625
75	0.9338453759
76	0.9337288607
77	0.9335666202
78	0.9333948193
79	0.9332525563
80	0.9331655711
81	0.9330208528
82	0.9328050088
83	0.9326880704
84	0.9326876702
85	0.9324765598
86	0.9322466155
87	0.9320720927
88	0.9318379899
89	0.9316506876
90	0.9315351167
91	0.9313956281
92	0.93122182
93	0.9310606005
94	0.9308920802
95	0.9306570644
96	0.9305423807
97	0.9303650536
98	0.9301826921
99	0.9299762233
100	0.9298391711
101	0.9296371869
102	0.9294859332
103	0.9293700835
104	0.9292004216
105	0.9290281753
106	0.9288920562
107	0.9287266769
108	0.9285794846
109	0.9284272106
110	0.9283251185
111	0.9282226772
112	0.9280250803
113	0.9279074984
114	0.9276876243
115	0.9275685664
116	0.9274261933
117	0.9272375747
118	0.9270414888
119	0.9269049899
120	0.9267167901
121	0.9264568967
122	0.9262747312
123	0.926189147
124	0.9260484032
125	0.9258810439
126	0.9256921479
127	0.9255318878
128	0.9254414214
129	0.9253177015
130	0.9251520829
131	0.9249873748
132	0.9248690161
133	0.9247176682
134	0.9245198507
135	0.9242907863
136	0.9241027416
137	0.9239734744
138	0.9238462451
139	0.9236480278
140	0.9234647137
141	0.9232935018
142	0.9231788806
143	0.9230093777
144	0.9228607884
145	0.9226907736
146	0.9225636364
147	0.9224616205
148	0.9223115977
149	0.9221147819
150	0.9220191962
151	0.9218893844
152	0.921748335
153	0.9215790388
154	0.9213557478
155	0.9212261748
156	0.92110965
157	0.9209285838
158	0.920789327
159	0.9206740904
160	0.9204886366
161	0.9203522087
162	0.9201481354
163	0.9199670673
164	0.9198152476
165	0.9196764258
166	0.919527416
167	0.919344126
168	0.9192308561
169	0.9190790331
170	0.9189131601
171	0.9187644163
172	0.9186515639
173	0.9185071032
174	0.9183927839
175	0.9181947919
176	0.9180726506
177	0.91791076
178	0.9177298827
179	0.9175620422
180	0.9174252164
181	0.9172260051
182	0.9171043601
183	0.9170223759
184	0.9168374016
185	0.9166291892
186	0.9164892316
187	0.9163280938
188	0.9162176353
189	0.9160762492
190	0.9159493085
191	0.9157677318
192	0.915648321
193	0.915532768
194	0.9154176124
195	0.9153039168
196	0.9151564689
197	0.9150438887
198	0.9148558507
199	0.9147402226
