incident_id,date,time,province,district,road_type,latitude,longitude,weather,visibility_meters,temperature_c,wind_speed_kmh,lighting,road_condition,surface_material,number_of_lanes,speed_limit_kmh,road_curvature,road_gradient,median_type,shoulder_available,num_vehicles,vehicle_types,vehicle_avg_age_years,overloading_detected,driver_age,helmet_usage,seatbelt_usage,mobile_phone_suspected,alcohol_drug_suspected,speed_at_impact_kmh,evasive_action,accident_cause,collision_type,impact_point,num_collisions,traffic_volume_per_hour,peak_off_peak,distance_to_hospital_km,expected_response_min,fatalities,serious_injuries,minor_injuries,property_damage_level,severity
PK-2024-00001,2024-06-03,16:12,KPK,Swat,Residential,32.6807,72.0094,Haze,95,34.9,7.7,Unlit,Muddy,Asphalt,4,60,Gentle,Flat,None,No,2,Car;Motorcycle,16.9,No,32,Yes,Not Applicable,No,No,60,Swerving,Signal Violation,Head-on,Side,2,1936,Peak,4.1,7.4,0,1,4,Severe,High
PK-2024-00002,2024-08-20,02:18,Punjab,Lahore,Rural,31.1711,74.3517,Dust Storm,132,22.6,11.1,Dawn-Dusk,Wet,Asphalt,4,80,Gentle,Flat,Physical,Yes,3,Bus;Car;Car,4.5,Yes,24,No,No,No,No,90,Swerving,Speeding,Head-on,Side,1,846,Off-peak,30.6,43.8,1,4,3,Total,Critical
PK-2024-00003,2024-05-09,04:20,Sindh,Sukkur,Rural,25.8819,68.2523,Clear,165,18.4,25.9,Unlit,Wet,Asphalt,2,50,Gentle,Flat,Painted,Yes,3,Car;Motorcycle;Motorcycle,19.3,No,24,Yes,Not Applicable,No,No,55,Braking,Signal Violation,Multi-vehicle pileup,Side,1,646,Off-peak,18.5,27.9,0,2,4,Severe,High
PK-2024-00004,2024-10-12,18:02,Sindh,Karachi,Highway,26.181,68.8059,Cloudy,232,21.7,2.0,Daylight,Dry,Asphalt,2,60,Gentle,Flat,None,Yes,1,Bicycle,10.7,No,45,No,No,No,No,65,Braking,Speeding,Side-swipe,Side,1,1661,Off-peak,33.4,44.9,0,0,2,None,Low
PK-2024-00005,2024-11-07,00:08,Punjab,Gujranwala,Urban,32.1237,72.5893,Cloudy,56,43.8,6.9,Dawn-Dusk,Muddy,Asphalt,4,40,Hairpin,Flat,Painted,Yes,1,Car,19.9,No,53,Partial,Not Applicable,No,No,55,None,Wrong Side,Head-on,Rear,1,1876,Peak,1.4,11.0,0,1,3,Severe,High
PK-2024-00006,2024-04-28,11:30,Punjab,Gujranwala,Rural,31.8543,72.0535,Clear,810,45.0,17.2,Daylight,Dry,Asphalt,3,40,Gentle,Flat,Painted,No,3,Truck;Truck;Motorcycle,4.2,No,29,Yes,No,No,Unknown,40,None,Signal Violation,Side-swipe,Side,1,323,Peak,35.6,43.4,0,0,0,None,Low
PK-2024-00007,2024-10-13,05:20,Punjab,Rawalpindi,Rural,31.0136,74.625,Rain,88,33.8,4.3,Dawn-Dusk,Potholed,Asphalt,2,50,Straight,Flat,Painted,No,2,Truck;Bus,3.9,Yes,30,Yes,Not Applicable,No,No,80,Braking,Speeding,Head-on,Front,1,158,Peak,8.3,16.0,2,4,2,Total,Critical
PK-2024-00008,2024-06-06,21:14,Balochistan,Khuzdar,Highway,28.4825,66.1384,Clear,167,32.6,1.3,Street-lit,Wet,Asphalt,1,110,Straight,Uphill,Physical,No,1,Bus,18.2,No,29,No,No,No,No,120,Swerving,Overloading,Side-swipe,Front,2,569,Peak,3.5,11.8,0,0,2,Moderate,Medium
PK-2024-00009,2024-04-19,21:51,Sindh,Hyderabad,Residential,26.2918,68.8977,Cloudy,331,39.2,7.0,Street-lit,Muddy,Concrete,4,50,Sharp,Uphill,Painted,Yes,3,Auto-rickshaw;Motorcycle;Car,3.7,No,43,Partial,Yes,No,No,60,None,Animal Crossing,Multi-vehicle pileup,Front,1,235,Off-peak,14.9,23.8,0,0,2,Moderate,Medium
PK-2024-00010,2024-02-27,20:07,Sindh,Sukkur,Rural,25.363,68.9762,Clear,1397,14.0,14.3,Daylight,Potholed,Asphalt,4,50,Sharp,Uphill,Physical,No,2,Motorcycle;Motorcycle,4.7,No,22,Yes,Partial,No,Unknown,70,Swerving,Wrong Side,Multi-vehicle pileup,Rear,3,281,Off-peak,31.5,43.1,1,4,3,Total,Critical
PK-2024-00011,2024-06-01,07:30,Punjab,Sargodha,Urban,29.6205,72.6053,Fog,624,27.7,26.6,Daylight,Icy,Gravel,3,80,Straight,Downhill,Physical,No,1,Auto-rickshaw,2.5,No,32,No,Yes,No,No,70,Braking,Signal Violation,Rollover,Rear,1,1706,Peak,27.0,41.4,0,1,3,Severe,High
PK-2024-00012,2024-07-21,13:37,Punjab,Sargodha,Urban,29.8577,72.4023,Dust Storm,458,33.1,31.6,Daylight,Construction,Asphalt,1,80,Straight,Uphill,None,No,1,Auto-rickshaw,14.8,No,27,Yes,Not Applicable,No,No,90,Swerving,Signal Violation,Multi-vehicle pileup,Front,1,1414,Off-peak,5.4,17.3,3,3,1,Severe,Critical
PK-2024-00013,2024-04-22,14:24,Punjab,Lahore,Urban,30.3418,73.0024,Cloudy,256,34.9,0.2,Street-lit,Dry,Concrete,2,60,Straight,Flat,Painted,Yes,3,Truck;Car;Truck,7.7,No,47,No,No,No,No,75,None,Drunk Driving,Side-swipe,Side,2,663,Off-peak,18.7,28.6,0,1,2,Minor,Medium
PK-2024-00014,2024-01-21,21:00,Punjab,Sialkot,Urban,30.0428,74.7213,Fog,108,31.1,14.1,Dawn-Dusk,Wet,Asphalt,6,100,Gentle,Flat,Physical,No,2,Truck;Truck,9.0,No,33,Yes,No,No,No,120,None,Human Error,Pedestrian,Roof,1,924,Peak,18.7,26.3,1,4,1,Total,Critical
PK-2024-00015,2024-03-06,11:59,Punjab,Sialkot,Urban,30.4226,73.7954,Cloudy,399,35.9,0.6,Daylight,Dry,Gravel,1,50,Gentle,Uphill,Painted,No,2,Motorcycle;Bus,10.7,No,59,No,Not Applicable,No,No,50,Swerving,Human Error,Head-on,Front,2,1280,Peak,49.9,66.5,0,0,1,None,Low
PK-2024-00016,2024-03-20,12:38,Punjab,Gujranwala,Urban,29.6109,73.1181,Haze,39,25.0,14.1,Unlit,Wet,Gravel,4,40,Sharp,Uphill,None,No,3,Car;Car;Truck,19.5,No,37,No,Partial,No,No,30,None,Weather,Multi-vehicle pileup,Side,3,852,Off-peak,33.0,46.9,1,4,2,Total,Critical
PK-2024-00017,2024-02-22,17:39,Punjab,Rawalpindi,Rural,31.2246,74.9927,Dust Storm,602,46.4,30.9,Unlit,Muddy,Asphalt,2,80,Straight,Uphill,None,Yes,1,Car,18.1,No,22,Partial,Yes,No,No,90,Braking,Speeding,Pedestrian,Front,1,716,Off-peak,11.2,18.0,1,2,1,Severe,Critical
PK-2024-00018,2024-01-11,11:54,KPK,Swat,Rural,32.5555,71.6865,Cloudy,70,35.0,9.3,Daylight,Wet,Asphalt,2,60,Straight,Flat,Painted,No,5,Truck;Car;Motorcycle;Auto-rickshaw;Motorcycle,7.9,No,28,No,No,No,No,60,Braking,Speeding,Pedestrian,Front,1,1594,Off-peak,61.4,77.3,0,1,2,Moderate,Medium
